# Frases del curso HSK1 · base de los ejercicios de TRADUCCIÓN y de DICTADO
#
# Formato de cada tema:
#   # número | título en chino | título en español
# Formato de cada frase (separadores " | "):
#   hanzi | pinyin | español [ / otra traducción válida / … ] [| opciones]
# Opciones (opcionales, separadas por espacios en la última columna):
#   tts=texto     texto que se envía a la voz si el hanzi lleva cifras que se
#                 leerían mal (teléfonos, años)
我买了一点儿苹果。 | Wǒ mǎile yìdiǎnr píngguǒ. | Compré unas pocas manzanas. / Compré algunas manzanas.
你看见张先生了吗？ | Nǐ kànjiàn Zhāng xiānsheng le ma? | ¿Has visto al señor Zhang? / ¿Viste al señor Zhang?
看见了，他去学开车了。 | Kànjiàn le, tā qù xué kāi chē le. | Sí, lo vi; se fue a aprender a conducir. / Sí, lo he visto, ha ido a aprender a conducir.
他什么时候能回来？ | Tā shénme shíhou néng huílai? | ¿Cuándo podrá volver? / ¿Cuándo puede volver?
四十分钟后回来。 | Sìshí fēnzhōng hòu huílai. | Vuelve dentro de cuarenta minutos. / Volverá en 40 minutos.
王方的衣服太漂亮了！ | Wáng Fāng de yīfu tài piàoliang le! | ¡La ropa de Wang Fang es preciosa! / ¡Qué bonita es la ropa de Wang Fang!
是啊，她买了不少衣服。 | Shì a, tā mǎile bùshǎo yīfu. | Sí, se ha comprado bastante ropa. / Sí, compró mucha ropa.
我没买，这些都是王方的东西。 | Wǒ méi mǎi, zhèxiē dōu shì Wáng Fāng de dōngxi. | Yo no compré nada, todas estas cosas son de Wang Fang. / No he comprado nada, todo esto es de Wang Fang.
昨天下午你去商店了吗？ | Zuótiān xiàwǔ nǐ qù shāngdiàn le ma? | ¿Fuiste a la tienda ayer por la tarde?
我去了。 | Wǒ qù le. | Sí, fui. / Fui.
我没买水果，你呢？ | Wǒ méi mǎi shuǐguǒ, nǐ ne? | Yo no compré fruta, ¿y tú?
你看见小王了吗？ | Nǐ kànjiàn Xiǎo Wáng le ma? | ¿Has visto a Xiao Wang? / ¿Viste a Xiao Wang?
看见了，他开车去学校了。 | Kànjiàn le, tā kāi chē qù xuéxiào le. | Sí, lo vi; ha ido a la escuela en coche. / Sí, fue a la escuela conduciendo.
你的衣服太漂亮了！ | Nǐ de yīfu tài piàoliang le! | ¡Tu ropa es preciosa! / ¡Qué ropa tan bonita!
谢谢，我喜欢买漂亮的衣服。 | Xièxie, wǒ xǐhuan mǎi piàoliang de yīfu. | Gracias, me gusta comprar ropa bonita.
这些东西是王老师的吗？ | Zhèxiē dōngxi shì Wáng lǎoshī de ma? | ¿Estas cosas son de la profesora Wang? / ¿Son del profesor Wang estas cosas?
是，这些都是她的东西。 | Shì, zhèxiē dōu shì tā de dōngxi. | Sí, todas estas cosas son suyas. / Sí, todo esto es suyo.

# 15 | 我是坐飞机来的 | ¿Cuándo, dónde y cómo fue?
你和李小姐是什么时候认识的？ | Nǐ hé Lǐ xiǎojiě shì shénme shíhou rènshi de? | ¿Cuándo os conocisteis tú y la señorita Li?
我们是2011年9月认识的。 | Wǒmen shì èr líng yī yī nián jiǔ yuè rènshi de. | Nos conocimos en septiembre de 2011. | tts=我们是二零一一年九月认识的。
你们在哪儿认识的？ | Nǐmen zài nǎr rènshi de? | ¿Dónde os conocisteis?
我们是在学校认识的，她是我大学同学。 | Wǒmen shì zài xuéxiào rènshi de, tā shì wǒ dàxué tóngxué. | Nos conocimos en la escuela, es mi compañera de universidad. / Nos conocimos en la universidad; ella es compañera mía de la universidad.
你们是怎么来饭店的？ | Nǐmen shì zěnme lái fàndiàn de? | ¿Cómo habéis venido al restaurante? / ¿Cómo vinisteis al restaurante?
我们是坐出租车来的。 | Wǒmen shì zuò chūzūchē lái de. | Hemos venido en taxi. / Vinimos en taxi.
李先生呢？ | Lǐ xiānsheng ne? | ¿Y el señor Li?
他是和朋友一起开车来的。 | Tā shì hé péngyou yìqǐ kāi chē lái de. | Él ha venido en coche con un amigo. / Vino conduciendo con un amigo.
很高兴认识您！李小姐。 | Hěn gāoxìng rènshi nín! Lǐ xiǎojiě. | ¡Encantado de conocerla, señorita Li! / Mucho gusto en conocerla, señorita Li.
认识你我也很高兴！ | Rènshi nǐ wǒ yě hěn gāoxìng! | ¡Yo también estoy muy contenta de conocerte! / ¡Encantada de conocerte yo también!
听张先生说，您是坐飞机来北京的？ | Tīng Zhāng xiānsheng shuō, nín shì zuò fēijī lái Běijīng de? | El señor Zhang me ha dicho que ha venido usted a Pekín en avión, ¿no? / He oído al señor Zhang que vino usted a Pekín en avión.
是的。 | Shì de. | Sí. / Así es.
你们是怎么认识的？ | Nǐmen shì zěnme rènshi de? | ¿Cómo os conocisteis?
我们是大学同学。 | Wǒmen shì dàxué tóngxué. | Somos compañeros de universidad. / Fuimos compañeros de universidad.
你的衣服是在哪儿买的？ | Nǐ de yīfu shì zài nǎr mǎi de? | ¿Dónde compraste tu ropa? / ¿Dónde has comprado la ropa?
在一个小商店买的。 | Zài yí ge xiǎo shāngdiàn mǎi de. | La compré en una tienda pequeña. / En una tienda pequeña.
小王回家了吗？ | Xiǎo Wáng huí jiā le ma? | ¿Xiao Wang ha vuelto a casa? / ¿Ha vuelto Xiao Wang a casa?
我看见他开车回家了。 | Wǒ kànjiàn tā kāi chē huí jiā le. | Lo vi volver a casa en coche. / Lo he visto volver a casa conduciendo.
我很高兴你来我们学校。 | Wǒ hěn gāoxìng nǐ lái wǒmen xuéxiào. | Me alegro de que vengas a nuestra escuela. / Me alegra que vengas a nuestra escuela.
我也很高兴。 | Wǒ yě hěn gāoxìng. | Yo también estoy muy contento. / Yo también estoy muy contenta.
你想什么时候去？ | Nǐ xiǎng shénme shíhou qù? | ¿Cuándo quieres ir?
明天吧，小王是今天去的。 | Míngtiān ba, Xiǎo Wáng shì jīntiān qù de. | Mañana; Xiao Wang fue hoy. / Mejor mañana, Xiao Wang ha ido hoy.
